distancia,cant
985.90,1
1049.50,1
1071.80,1
1086.20,1
1097.10,1
1100.90,1
1102.70,1
1125.50,1
1134.80,1
1136.10,1
1148.00,1
1152.30,1
1162.70,1
1164.40,1
1167.90,1
1175.40,1
1180.00,1
1181.80,1
1183.70,1
1184.90,1
1186.60,1
1192.40,1
1193.70,1
1200.90,1
1202.10,1
1204.00,1
1207.80,1
1210.30,1
1216.20,1
1220.50,1
1221.40,1
1223.40,1
1225.30,1
1227.10,1
1228.90,1
1231.00,1
1234.90,1
1236.00,1
1241.70,1
1242.10,1
1242.20,1
1242.90,1
1243.00,1
1247.30,1
1248.30,1
1249.00,2
1250.00,1
1252.20,1
1256.30,1
1257.40,1
1259.80,1
1261.90,1
1263.50,1
1264.00,1
1266.10,1
1266.80,1
1268.10,1
1270.60,1
1271.10,1
1272.70,1
1275.70,1
1277.50,1
1278.80,1
1279.30,1
1280.10,1
1281.10,1
1282.50,1
1282.60,1
1284.50,1
1285.70,1
1285.90,1
1289.20,1
1290.50,1
1293.00,1
1293.70,1
1294.10,1
1296.80,1
1298.10,1
1299.10,1
1299.90,1
1300.60,1
1301.30,1
1302.50,1
1302.70,1
1302.90,1
1305.90,1
1306.30,1
1306.90,2
1309.40,1
1310.50,1
1312.00,1
1312.40,1
1315.40,1
1319.60,1
1323.10,1
1323.40,1
1325.60,1
1325.90,1
1329.30,1
1329.50,2
1330.70,1
1330.90,1
1331.40,1
1331.80,1
1332.70,1
1334.60,1
1335.00,1
1338.10,1
1340.10,1
1340.70,1
1341.70,1
1342.10,1
1342.70,1
1343.10,1
1344.10,1
1345.20,1
1346.00,1
1346.40,1
1346.90,1
1348.20,1
1348.40,1
1348.70,2
1349.00,1
1349.50,1
1349.90,1
1350.80,1
1351.00,1
1351.60,1
1353.80,2
1354.10,1
1354.20,1
1355.30,1
1355.90,1
1357.60,1
1357.80,1
1357.90,1
1358.20,1
1358.30,1
1358.90,1
1359.50,1
1361.60,1
1361.90,1
1363.50,1
1365.00,1
1365.30,1
1365.80,1
1366.80,1
1367.70,1
1371.10,1
1371.40,3
1371.80,1
1371.90,1
1372.60,1
1373.20,2
1373.70,1
1374.30,1
1374.60,1
1375.20,1
1375.50,2
1378.60,1
1378.70,1
1379.20,2
1379.70,1
1380.60,1
1380.70,1
1381.30,1
1382.10,1
1382.20,1
1382.50,1
1382.70,1
1382.90,1
1384.20,1
1384.40,1
1385.50,2
1386.20,1
1386.60,1
1387.00,1
1387.10,1
1390.00,1
1390.10,1
1390.70,2
1391.40,1
1393.10,1
1393.30,1
1394.40,1
1395.20,1
1396.20,1
1396.30,1
1397.50,1
1397.60,1
1397.70,1
1398.10,1
1398.60,1
1398.90,1
1399.50,1
1400.30,2
1400.60,1
1400.80,2
1400.90,1
1401.40,1
1401.70,1
1402.00,1
1403.70,1
1405.50,1
1406.30,1
1407.60,1
1407.90,1
1408.10,1
1409.60,1
1410.10,1
1411.00,1
1412.00,1
1412.40,1
1413.80,1
1415.90,1
1416.90,1
1417.30,2
1417.90,1
1418.70,1
1418.80,1
1419.00,1
1419.10,1
1419.70,1
1420.00,1
1420.30,2
1420.40,1
1420.70,1
1421.70,1
1422.00,1
1422.10,1
1422.80,1
1423.00,1
1423.10,1
1423.70,2
1424.00,1
1424.60,2
1425.30,1
1426.40,1
1426.80,2
1427.10,1
1427.60,1
1428.90,1
1430.80,1
1431.10,1
1431.80,1
1432.90,1
1433.40,1
1434.90,1
1435.40,1
1435.50,1
1435.80,1
1436.60,1
1437.00,1
1437.90,1
1438.10,1
1438.80,1
1438.90,2
1439.60,1
1440.10,1
1440.60,1
1440.90,2
1441.10,1
1441.70,1
1442.00,1
1442.20,1
1442.50,1
1443.60,1
1444.60,1
1445.20,1
1445.30,1
1445.50,1
1445.60,1
1445.90,1
1446.00,1
1446.40,1
1446.50,2
1447.10,1
1448.00,1
1448.10,1
1448.80,1
1450.70,1
1451.20,1
1451.80,1
1452.80,1
1453.70,1
1454.90,1
1455.20,1
1455.50,1
1456.00,1
1457.50,1
1457.60,2
1457.80,1
1458.50,1
1458.80,2
1458.90,1
1459.10,1
1459.30,1
1459.50,1
1460.70,1
1461.00,1
1461.10,1
1462.10,1
1462.50,1
1462.60,2
1462.70,1
1463.50,1
1463.90,2
1464.60,1
1464.90,1
1465.00,1
1465.10,1
1465.40,1
1465.50,1
1465.60,1
1465.90,1
1466.10,1
1466.20,1
1467.80,1
1468.30,2
1468.80,1
1469.60,1
1470.10,1
1470.50,2
1470.70,1
1470.80,1
1471.10,2
1471.30,1
1472.20,1
1472.80,1
1472.90,1
1473.70,1
1473.80,1
1474.00,1
1474.20,1
1474.50,1
1475.20,2
1476.00,1
1476.10,1
1476.30,1
1477.00,1
1477.50,2
1477.90,1
1478.60,1
1479.40,1
1479.70,1
1480.20,1
1480.30,1
1480.60,1
1480.70,1
1481.40,3
1481.80,1
1482.60,1
1482.80,1
1483.60,1
1485.00,2
1485.20,1
1485.40,2
1485.70,2
1485.90,1
1486.90,1
1487.10,1
1487.30,1
1488.00,1
1488.40,1
1489.70,1
1490.00,1
1490.10,1
1490.20,1
1490.70,1
1490.90,1
1491.00,1
1491.20,1
1492.00,1
1492.10,1
1492.20,1
1492.30,1
1492.60,1
1493.20,1
1493.30,2
1493.40,1
1494.00,1
1494.30,1
1494.50,2
1494.70,1
1495.60,1
1496.20,2
1496.40,1
1496.50,2
1496.80,1
1496.90,1
1497.00,1
1497.20,1
1497.30,1
1498.00,1
1498.70,1
1499.30,1
1499.50,1
1499.90,1
1500.10,1
1500.40,1
1500.60,1
1500.90,1
1501.40,2
1501.70,1
1501.80,1
1502.70,1
1502.80,1
1503.10,1
1503.20,1
1503.50,2
1503.70,1
1504.00,1
1504.30,1
1504.50,1
1504.60,1
1505.50,1
1505.70,1
1505.90,1
1506.60,2
1506.80,2
1507.40,1
1508.20,1
1508.30,2
1508.40,1
1508.50,3
1508.90,1
1509.30,1
1509.60,1
1509.80,3
1509.90,1
1510.60,1
1510.70,1
1510.80,1
1510.90,1
1511.00,1
1511.10,1
1511.40,2
1511.50,1
1512.00,2
1512.10,1
1512.20,2
1512.40,1
1512.50,1
1512.70,2
1512.80,1
1513.40,2
1513.70,1
1513.80,1
1513.90,2
1514.40,2
1514.50,1
1514.60,1
1514.90,2
1515.40,1
1516.00,1
1516.10,1
1516.30,2
1517.10,1
1517.30,1
1517.70,1
1518.00,2
1518.10,1
1518.60,1
1518.80,2
1519.10,3
1519.50,1
1519.70,1
1520.00,1
1520.30,1
1520.70,2
1520.80,1
1521.00,1
1521.20,1
1521.60,1
1521.90,2
1522.00,1
1522.10,1
1522.20,1
1522.50,1
1522.60,1
1523.10,1
1523.20,2
1523.70,1
1524.20,1
1524.80,1
1525.10,2
1525.30,2
1525.40,1
1525.70,1
1526.20,1
1526.30,1
1526.70,2
1527.40,1
1527.90,2
1528.20,1
1528.40,1
1528.50,1
1528.80,1
1528.90,1
1529.20,1
1529.30,1
1529.50,1
1529.90,1
1530.10,1
1530.70,2
1530.80,1
1530.90,1
1531.20,1
1532.20,1
1532.60,1
1532.70,1
1533.50,2
1533.60,1
1533.70,2
1533.80,1
1534.00,1
1534.30,1
1535.00,1
1535.10,1
1535.30,1
1535.40,1
1535.60,1
1536.00,1
1536.20,2
1536.40,1
1536.80,1
1537.00,1
1537.10,1
1537.40,4
1538.00,1
1538.10,1
1538.50,1
1538.70,1
1538.90,3
1539.00,1
1539.40,1
1539.80,1
1540.00,2
1540.10,1
1540.20,3
1540.40,1
1540.60,3
1540.80,1
1540.90,1
1541.00,1
1541.20,1
1541.50,1
1541.60,1
1541.90,1
1542.00,2
1542.40,1
1542.50,2
1542.60,2
1542.70,1
1542.90,3
1543.00,1
1543.20,1
1543.70,1
1543.80,2
1544.10,1
1544.30,2
1544.50,1
1544.60,1
1544.80,1
1545.00,1
1545.10,1
1545.30,1
1546.00,1
1546.10,1
1546.20,2
1546.30,1
1546.80,2
1546.90,2
1547.00,1
1547.30,1
1547.60,2
1547.80,1
1548.00,1
1548.10,1
1548.20,1
1548.50,1
1548.60,1
1548.80,1
1549.00,1
1549.10,1
1549.20,1
1549.30,1
1549.50,1
1550.40,1
1550.70,1
1550.80,1
1551.30,2
1551.50,2
1551.60,1
1551.80,5
1552.00,1
1552.10,1
1552.20,1
1552.30,1
1552.40,1
1553.20,2
1553.80,3
1553.90,2
1554.20,1
1554.70,1
1555.00,1
1555.40,1
1555.50,1
1556.00,1
1556.10,1
1556.30,1
1556.50,1
1556.70,1
1556.80,1
1557.00,2
1557.20,1
1557.30,1
1557.40,3
1557.70,1
1557.80,1
1558.30,2
1558.40,1
1558.60,1
1558.90,1
1559.00,3
1559.10,1
1559.40,1
1559.60,1
1559.70,1
1559.80,1
1560.10,2
1560.20,1
1560.50,3
1560.70,1
1560.80,1
1561.20,1
1561.40,1
1562.30,1
1562.50,2
1562.80,2
1563.10,1
1563.20,1
1563.60,1
1563.70,1
1563.80,1
1564.00,1
1564.10,2
1564.40,1
1564.70,1
1564.90,2
1565.00,1
1565.10,3
1565.60,1
1565.90,1
1566.20,1
1566.30,1
1566.40,1
1566.90,1
1567.10,2
1567.20,2
1567.30,3
1567.40,1
1567.50,1
1567.60,1
1568.00,2
1568.30,2
1568.50,1
1568.60,2
1569.10,1
1569.30,1
1569.40,1
1569.90,2
1570.10,1
1570.20,2
1570.30,1
1570.40,1
1570.90,2
1571.10,1
1571.20,1
1571.40,2
1571.50,2
1571.90,1
1572.20,2
1572.30,1
1572.50,1
1572.60,1
1572.70,1
1572.80,1
1573.00,1
1573.10,1
1573.70,1
1573.80,2
1574.30,2
1574.40,1
1574.50,1
1574.80,2
1574.90,1
1575.10,1
1575.30,1
1575.60,1
1575.80,2
1575.90,1
1576.10,2
1576.60,1
1577.20,2
1577.30,1
1577.50,1
1577.80,1
1577.90,1
1578.10,2
1578.20,1
1578.60,1
1578.70,1
1579.00,1
1579.10,1
1579.20,1
1579.50,1
1579.70,2
1580.40,1
1580.50,3
1580.70,1
1580.90,2
1581.30,1
1581.40,1
1581.70,1
1581.80,1
1581.90,3
1582.00,1
1582.40,2
1582.50,1
1582.60,1
1582.70,1
1583.20,1
1583.30,1
1583.50,2
1584.00,1
1584.40,1
1584.50,3
1584.80,1
1584.90,1
1585.10,1
1585.20,1
1585.50,2
1585.70,1
1586.20,2
1586.30,3
1586.50,2
1586.70,2
1586.80,2
1586.90,1
1587.50,2
1587.60,1
1587.70,1
1587.80,3
1588.30,2
1588.40,1
1588.50,1
1588.60,3
1589.00,1
1589.40,1
1589.60,3
1589.70,2
1589.90,1
1590.30,1
1590.40,1
1590.50,1
1590.60,1
1590.70,1
1591.20,1
1591.60,1
1591.70,2
1591.80,1
1591.90,2
1592.00,1
1592.10,1
1592.20,2
1592.60,2
1592.70,1
1592.80,1
1593.40,2
1593.90,2
1594.10,2
1594.50,1
1594.90,1
1595.10,2
1595.20,1
1595.30,1
1595.50,1
1595.90,3
1596.10,1
1596.30,2
1596.40,1
1596.50,1
1596.60,1
1596.70,1
1596.80,3
1596.90,2
1597.00,3
1597.10,1
1597.20,2
1597.60,2
1597.80,3
1598.10,1
1598.40,1
1598.50,1
1598.80,4
1598.90,1
1599.00,1
1599.10,1
1599.30,3
1599.40,2
1599.60,1
1599.70,1
1600.10,1
1600.60,1
1600.70,2
1600.80,1
1600.90,1
1601.40,2
1601.60,1
1601.70,2
1601.80,1
1601.90,1
1602.30,1
1602.40,2
1602.50,1
1602.60,2
1602.80,1
1602.90,2
1603.20,1
1603.50,1
1603.60,2
1603.70,1
1603.80,2
1603.90,2
1604.30,1
1604.50,1
1604.60,1
1604.70,1
